AgreementKey,Customer Key,Contract with Year,Contract,Contract Year,Check if Customer in CUSTOMERS_D,Check if Contract in CONTRACTS_D,Contract_Internal_Name,Max Contract Year from CONTRACTS_D,,,,,,,
IN990411SERV_GP_C5255_1,IN990411SERV_GP,C5255_1,C5255,1,1,1,CERTIFIED,3,,,,,,,
TN992030SERV_GP_C0377_3,TN992030SERV_GP,C0377_3,C0377,3,1,1,CERTIFIED,3,,,,,,,
IN980003SERV_GP_C0660_3,IN980003SERV_GP,C0660_3,C0660,3,1,3,CERTIFIED,6,,,,,,,
DY991090SERV_GP_C5478_1,DY991090SERV_GP,C5478_1,C5478,1,1,1,CERTIFIED,2,,,,,,,
DY990985SERV_GP_C3332_4,DY990985SERV_GP,C3332_4,C3332,4,1,1,CERTIFIED,6,,,,,,,
LV990318SERV_GP_A+5424_1,LV990318SERV_GP,A+5424_1,A+5424,1,1,0,#N/A,0,OVER,,,,,,
IN980003SERV_GP_C0658_4,IN980003SERV_GP,C0658_4,C0658,4,1,8,CERTIFIED,6,,,,,,,
SERV_GP_C3172_3,SERV_GP,C3172_3,C3172,3,1,8,CERTIFIED,3,,,,,,,
IN990377SERV_GP_C5574_1,IN990377SERV_GP,C5574_1,C5574,1,1,1,CERTIFIED,2,,,,,,,
TN200620SERV_GP_A0392_6,TN200620SERV_GP,A0392_6,A0392,6,1,1,ASSURED,7,,,,,,,
CN991794SERV_GP_C2468_5,CN991794SERV_GP,C2468_5,C2468,5,1,1,CERTIFIED,6,,,,,,,
IN980003SERV_GP_C0663_3,IN980003SERV_GP,C0663_3,C0663,3,1,3,CERTIFIED,5,,,,,,,
IN980003SERV_GP_C0661_3,IN980003SERV_GP,C0661_3,C0661,3,1,3,CERTIFIED,6,,,,,,,
EMB001SERV_GP_C0617_0,EMB001SERV_GP,C0617_0,C0617,0,1,3,CERTIFIED,6,,,,,,,
DY991035SERV_GP_C5319_2,DY991035SERV_GP,C5319_2,C5319,2,1,1,CERTIFIED,4,,,,,,,
CN992022SERV_GP_C3413_1,CN992022SERV_GP,C3413_1,C3413,1,1,1,CERTIFIED,3,,,,,,,
TN991975SERV_GP_C0573_2,TN991975SERV_GP,C0573_2,C0573,2,1,1,CERTIFIED,6,,,,,,,
TN991858SERV_GP_C0642_0,TN991858SERV_GP,C0642_0,C0642,0,1,4,CERTIFIED,6,,,,,,,
CN992131SERV_GP_C5140_1,CN992131SERV_GP,C5140_1,C5140,1,1,2,CERTIFIED,5,,,,,,,
NV00165SERV_GP_C5315_0,NV00165SERV_GP,C5315_0,C5315,0,1,1,CERTIFIED,2,,,,,,,
LX990269SERV_GP_A0502_2,LX990269SERV_GP,A0502_2,A0502,2,1,2,ASSURED,6,,,,,,,
LX990269SERV_GP_A0502_3,LX990269SERV_GP,A0502_3,A0502,3,1,2,ASSURED,6,,,,,,,
NV00134SERV_GP_A+0144_0,NV00134SERV_GP,A+0144_0,A+0144,0,1,1,ASSURED +,3,,,,,,,
TN992028SERV_GP_A0448_4,TN992028SERV_GP,A0448_4,A0448,4,1,1,ASSURED,6,,,,,,,
LV950012SERV_GP_LOU 608_4,LV950012SERV_GP,LOU 608_4,LOU 608,4,1,1,SLS ASSIST,6,,,,,,,
TN991975SERV_GP_I0423_2,TN991975SERV_GP,I0423_2,I0423,2,1,1,INSPECTION,4,,,,,,,
WV990199SERV_GP_A+0301_0,WV990199SERV_GP,A+0301_0,A+0301,0,1,1,ASSURED +,3,,,,,,,
NV00090SERV_GP_C0648_0,NV00090SERV_GP,C0648_0,C0648,0,1,41,CERTIFIED,6,,,,,,,
DY991038SERV_GP_C5184_1,DY991038SERV_GP,C5184_1,C5184,1,1,1,CERTIFIED,4,,,,,,,
IN200001SERV_GP_C0578_4,IN200001SERV_GP,C0578_4,C0578,4,1,3,CERTIFIED,5,,,,,,,
LV200014SERV_GP_A0216_0,LV200014SERV_GP,A0216_0,A0216,0,1,1,ASSURED,7,,,,,,,
LV990318SERV_GP_A+5424_2,LV990318SERV_GP,A+5424_2,A+5424,2,1,0,#N/A,0,OVER,,,,,,
TN960672SERV_GP_C0377_1,TN960672SERV_GP,C0377_1,C0377,1,1,1,CERTIFIED,3,,,,,,,
TN992003SERV_GP_C0782_1,TN992003SERV_GP,C0782_1,C0782,1,1,1,CERTIFIED,6,,,,,,,
